Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,3135,Público,Politécnico,Engenharia de Computação e Instrumentação Médica,9495,Licenciatura,77,Sim,5,"6,4",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Lamego,3186,Público,Politécnico,Contabilidade e Auditoria,9061,Licenciatura,108,Sim,7,"6,4",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,3243,Público,Politécnico,Engenharia Mecânica,9123,Licenciatura,62,Sim,4,"6,4",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,Neurofisiologia,8145,Licenciatura,62,Sim,4,"6,4",2009/10_2012/13,DGES
Universidade Atlântica,2700,Escola Superior de Saúde Atlântica,2701,Privado,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,63,Sim,4,"6,3",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Escola Superior de Tecnologia e Gestão de Águeda,3012,Público,Politécnico,Tecnologias da Informação,8016,Licenciatura,63,Sim,4,"6,3",2009/10_2012/13,DGES
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Gestão,3031,Público,Politécnico,Contabilidade,9056,Licenciatura,283,Sim,18,"6,3",2009/10_2012/13,DGES
Escola Superior de Saúde Egas Moniz,4106,Escola Superior de Saúde Egas Moniz,4106,Privado,Politécnico,Fisioterapia,9504,Licenciatura,207,Sim,13,"6,3",2009/10_2012/13,DGEEC
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Sociologia,9240,Licenciatura,472,Sim,30,"6,3",2009/10_2012/13,DGES
Universidade do Algarve,200,Faculdade de Ciências e Tecnologia,203,Público,Universitário,Biologia,9011,Licenciatura,96,Sim,6,"6,2",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Optometria - Ciências da Visão,9216,Licenciatura,175,Sim,11,"6,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Agronomia,1515,Público,Universitário,Engenharia Alimentar,9087,Licenciatura,159,Sim,10,"6,2",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,Engenharia Electrotécnica e de Computadores,9112,Licenciatura,128,Sim,8,"6,2",2009/10_2012/13,DGES
Escola Superior de Enfermagem do Porto,7003,Escola Superior de Enfermagem do Porto,7003,Público,Politécnico,Enfermagem,9500,Licenciatura,925,Sim,58,"6,2",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,7210,Público,Politécnico,Farmácia,9549,Licenciatura,112,Sim,7,"6,2",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Biologia,9011,Licenciatura,178,Sim,11,"6,1",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Engenharia Electrotécnica e de Computadores,9367,Mestrado Integrado,261,Sim,16,"6,1",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Engenharia Química,9461,Mestrado Integrado,212,Sim,13,"6,1",2009/10_2012/13,DGES
Instituto Superior Politécnico Gaya,4440,Escola Superior de Ciência e Tecnologia,4442,Privado,Politécnico,Gestão,9147,Licenciatura,33,Sim,2,"6,1",2009/10_2012/13,DGEEC
Universidade do Algarve,200,Faculdade de Ciências e Tecnologia,203,Público,Universitário,Engenharia Informática,9119,Licenciatura,82,Sim,5,6,2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Estudos Portugueses e Espanhóis,9918,Licenciatura,82,Sim,5,6,2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Educação Básica,9853,Licenciatura,100,Sim,6,6,2009/10_2012/13,DGES
